image_index,beautiful_cat_score,cute_cat_score,lovely_cat_score,charming_cat_score,adorable_cat_score,elegant_cat_score,graceful_cat_score,pretty_cat_score,handsome_cat_score,gorgeous_cat_score,photogenic_cat_score,delightful_cat_score,attractive_cat_score,sweet_cat_score,stunning_cat_score,majestic_cat_score,fluffy_cat_score,playful_cat_score,happy_cat_score,appealing_cat_score,total_score,image_url
63,0.8982236,0.5977198,0.76031536,0.6683034,0.1799563,0.74434465,0.52609694,0.6237427,0.6397079,0.67347026,0.88387746,0.7481996,0.7514305,0.7430704,0.868864,0.27691045,0.61094815,0.74922127,0.6384092,0.2559774,12.838791,https://storage.googleapis.com/pretty_cats/image_63.jpg
64,0.88299286,0.38432482,0.6440236,0.7032574,0.7073869,0.679999,0.7891423,0.53271997,0.8151144,0.6704363,0.64156276,0.6580747,0.6324021,0.6582446,0.8643055,0.2271397,0.6521398,0.36178103,0.50696945,0.6465962,12.658614,https://storage.googleapis.com/pretty_cats/image_64.jpg
65,0.8853499,0.68285054,0.8602712,0.8305063,0.5466455,0.92664206,0.70752907,0.41075674,0.74690306,0.661957,0.9378819,0.88428324,0.7711855,0.7280302,0.91675186,0.45836338,0.16605745,0.9621734,0.29192543,0.5100513,13.886115,https://storage.googleapis.com/pretty_cats/image_65.jpg
66,0.21742384,0.18211907,0.714031,0.623547,0.37007773,0.03592328,0.11012377,0.59966415,0.19878314,0.08167798,0.64758015,0.48733744,0.62129813,0.3713842,0.41594982,0.21659805,0.5461605,0.12345786,0.59033877,0.44656447,7.600041,https://storage.googleapis.com/pretty_cats/image_66.jpg
67,0.97782373,0.527761,0.80277514,0.8628564,0.91933036,0.7692238,0.9328557,0.9050089,0.95225817,0.9835338,0.72246087,0.74777967,0.6205291,0.78140527,0.99452955,0.7757067,0.9190198,0.23143436,0.47981548,0.5278984,15.434007,https://storage.googleapis.com/pretty_cats/image_67.jpg
68,0.97367686,0.9745325,0.8505818,0.94891965,0.9767517,0.26271546,0.4224623,0.84486085,0.38844764,0.8184241,0.84175146,0.62170285,0.22005916,0.94603056,0.8908782,0.18072091,0.3297841,0.9241065,0.37265235,0.44554746,13.234608,https://storage.googleapis.com/pretty_cats/image_68.jpg
69,0.71533895,0.5254449,0.67369336,0.51239854,0.23678361,0.5776173,0.7485121,0.4726901,0.74519527,0.5468771,0.77524513,0.7540002,0.69858575,0.7998399,0.6521328,0.8145985,0.57596165,0.19818841,0.40622142,0.34801084,11.777336,https://storage.googleapis.com/pretty_cats/image_69.jpg
70,0.67963696,0.76043427,0.67148066,0.5387159,0.84600335,0.23994398,0.1566678,0.8999795,0.28876728,0.4816705,0.33041465,0.41858923,0.24062574,0.6172896,0.66450715,0.030841213,0.15502699,0.50660855,0.14977142,0.40389562,9.080871,https://storage.googleapis.com/pretty_cats/image_70.jpg
71,0.7000168,0.5761941,0.8787027,0.5975675,0.6613391,0.5664209,0.33963853,0.3352518,0.20863804,0.53488445,0.5287207,0.81394917,0.26005384,0.89921755,0.6877881,0.018596103,0.7796077,0.45446366,0.9251201,0.16718175,10.933353,https://storage.googleapis.com/pretty_cats/image_71.jpg
72,0.97850275,0.93329525,0.96643984,0.96310365,0.96030635,0.48177335,0.15486068,0.6539043,0.79244703,0.7734671,0.97446567,0.9117979,0.9014304,0.89081293,0.98258257,0.41932285,0.6050121,0.9532954,0.36255252,0.5221346,15.181507,https://storage.googleapis.com/pretty_cats/image_72.jpg
73,0.79715675,0.40157184,0.36194178,0.27603865,0.58209807,0.7171434,0.7552339,0.26896808,0.3058998,0.68896806,0.16303979,0.66033626,0.20949939,0.5598776,0.45666578,0.073211946,0.34452912,0.29602545,0.79249185,0.8161667,9.526864,https://storage.googleapis.com/pretty_cats/image_73.jpg
74,0.7421601,0.38883376,0.68317723,0.889363,0.56630385,0.38544738,0.7658082,0.4945552,0.59856474,0.48218146,0.9463142,0.7150682,0.7363162,0.51047885,0.943484,0.35279864,0.34008187,0.34327292,0.5013981,0.52824587,11.913855,https://storage.googleapis.com/pretty_cats/image_74.jpg
75,0.8909616,0.6905057,0.75413954,0.67054975,0.80832595,0.3610499,0.62658167,0.7773385,0.10835192,0.8146707,0.32421494,0.64541286,0.47297633,0.7977015,0.7987423,0.03532581,0.66954315,0.66463464,0.5113115,0.674927,12.097265,https://storage.googleapis.com/pretty_cats/image_75.jpg
76,0.9205056,0.5810858,0.73997,0.69415975,0.8675394,0.07534034,0.67535615,0.73166263,0.8047481,0.8781403,0.7472162,0.7698705,0.55536646,0.8141085,0.96408004,0.3849338,0.91762686,0.4111358,0.64627755,0.539432,13.7185545,https://storage.googleapis.com/pretty_cats/image_76.jpg
77,0.8435015,0.30933008,0.398427,0.5034289,0.32067585,0.2877201,0.6701493,0.39989632,0.69633555,0.5220313,0.35493335,0.60697085,0.39131963,0.5691325,0.57569057,0.49536765,0.88770086,0.06052494,0.5145737,0.32636073,9.734071,https://storage.googleapis.com/pretty_cats/image_77.jpg
78,0.7767824,0.5005536,0.866035,0.79272634,0.87308574,0.39162314,0.7630826,0.80212724,0.54955095,0.7166592,0.866223,0.8916143,0.7039427,0.7841328,0.9523461,0.24873123,0.34201333,0.9556283,0.89740074,0.62134886,14.295607,https://storage.googleapis.com/pretty_cats/image_78.jpg
79,0.33725467,0.55782974,0.782802,0.5116379,0.50039864,0.52902865,0.4518319,0.666071,0.46034482,0.3459839,0.7889238,0.54059327,0.6990065,0.4551125,0.6658232,0.2430819,0.085962966,0.70716536,0.63266236,0.5328016,10.494318,https://storage.googleapis.com/pretty_cats/image_79.jpg
